source,target,created_at,is_reciprocal
4595e267-cc70-48b8-ba58-d2751c16f1fc,4badfae6-0343-44b0-a1b7-b5e69ce7a175,2025-09-27 04:56:16.337856+00,false
a99ddcd6-bc5d-4bd8-add9-3eb953a186ae,4badfae6-0343-44b0-a1b7-b5e69ce7a175,2025-11-06 13:15:52.361012+00,false
44577120-05e6-4f8f-b660-5ab670d07187,cdb85983-6846-43f9-a354-7f0e7c69874b,2025-11-17 13:59:55.788819+00,true
44577120-05e6-4f8f-b660-5ab670d07187,bc7a2605-10c8-4763-ab4d-85a6e01f932a,2025-11-17 14:45:14.500477+00,true
357f6949-e045-43e6-b24a-82c54a65f60c,28c5d559-12d8-47de-b7cc-2754cd105aaf,2025-11-29 12:41:55.64751+00,true
357f6949-e045-43e6-b24a-82c54a65f60c,b8ed619d-f0bc-4d30-bad9-2d2dc1e67c60,2025-11-30 16:48:40.793158+00,false
b1640bd5-7937-460d-987a-98b3cb27b471,ba77f4af-a44b-4fe8-8d7d-ade12feb088c,2025-12-11 11:38:01.53226+00,true
c6e001d0-4691-4135-b630-30777dda0ef1,28c5d559-12d8-47de-b7cc-2754cd105aaf,2025-12-21 04:32:37.913047+00,true
55608441-e64a-414f-a0b0-9b785c3fd468,935efafa-d8cd-45d3-bfee-8fd8b58f6d78,2025-10-03 15:15:58.767711+00,true
45c9a738-29a9-49dc-ae84-ee0dd518f797,3f377267-bbc4-47f4-a1a1-bfc7e33e38d3,2025-10-06 04:03:47.922177+00,true
e6081374-ff0f-41a6-8d20-ec24fb3adba8,0359ac16-7ed8-4ba8-ba05-06864be45af0,2025-10-07 05:58:51.252099+00,true
7cfbd706-8349-46d2-a673-0467cbe78bc1,c6e001d0-4691-4135-b630-30777dda0ef1,2026-01-02 15:34:08.513383+00,true
1c54c12e-7b00-454f-976b-8e0e2c88e413,6e26bb99-1465-4cb9-acca-5504263941bb,2026-01-09 14:57:54.893357+00,true
4174f6e0-9780-4bf7-bc68-1240dfda43eb,3f377267-bbc4-47f4-a1a1-bfc7e33e38d3,2026-02-09 06:56:29.166072+00,true
6374fa3b-1314-44db-a25e-d86ab50af1de,d7c685db-920f-41f8-a300-2d270a859518,2026-03-21 01:57:13.367872+00,false
a54e8ffa-09c9-47ff-966c-5e58e934e264,128cf989-aaaa-4382-b9bf-04f9395a2e97,2026-04-19 19:27:44.371704+00,false
0359ac16-7ed8-4ba8-ba05-06864be45af0,e6081374-ff0f-41a6-8d20-ec24fb3adba8,2025-10-08 01:21:05.279007+00,true
89012806-c540-4e9c-969f-d0c6700326fe,d7c685db-920f-41f8-a300-2d270a859518,2025-10-17 02:25:22.457734+00,false
89012806-c540-4e9c-969f-d0c6700326fe,902f3b95-7510-409f-9e22-515a3d628986,2025-10-17 02:25:24.711365+00,false
89012806-c540-4e9c-969f-d0c6700326fe,fe0a67d5-766a-42ce-87d1-555df24f2a84,2025-10-17 02:25:24.981969+00,false
89012806-c540-4e9c-969f-d0c6700326fe,68c9a029-f4ab-4d48-93af-873254690cf6,2025-10-17 02:25:25.611663+00,false
89012806-c540-4e9c-969f-d0c6700326fe,6374fa3b-1314-44db-a25e-d86ab50af1de,2025-10-17 02:25:26.734944+00,false
89012806-c540-4e9c-969f-d0c6700326fe,70647789-df09-4be7-9b6c-ca04ee6422ec,2025-10-17 02:25:28.118023+00,false
89012806-c540-4e9c-969f-d0c6700326fe,cada74bd-c626-46d5-b8fc-4c7965b3f04e,2025-10-17 02:25:28.549927+00,false
89012806-c540-4e9c-969f-d0c6700326fe,a31bb88b-9e1b-4cc0-87c9-7d70caab78a9,2025-10-17 02:25:31.006735+00,false
89012806-c540-4e9c-969f-d0c6700326fe,3fc091cc-40d3-4fee-9f01-9bc0371b10e3,2025-10-17 02:25:31.639884+00,false
89012806-c540-4e9c-969f-d0c6700326fe,06a9333f-c0b9-465b-aad3-b2a2e66d0170,2025-10-17 02:25:32.058058+00,false
89012806-c540-4e9c-969f-d0c6700326fe,6a03eb76-87cb-4052-b480-c64d9a06d1e9,2025-10-17 02:25:33.126827+00,false
89012806-c540-4e9c-969f-d0c6700326fe,ac44286f-1ac5-45bc-a8d9-6683e9436b36,2025-10-17 02:25:34.484466+00,false
89012806-c540-4e9c-969f-d0c6700326fe,103b3295-e86f-46ea-9877-b165d7634437,2025-10-17 02:25:35.53999+00,false
2860d2bf-d3ad-4b4e-b647-64f380570971,7f9185b9-08f4-42c6-ac19-63c66b2ab5fc,2025-08-30 18:13:08.973559+00,true
882a4734-8505-474e-b23d-53420702df26,8db92e65-7e3c-41a9-86b4-0c2f95e17c2c,2025-09-01 05:26:55.674777+00,true
2007a8cf-3c59-4d0a-9f8c-3ce1d53aac12,51100502-c406-4c75-b683-fbc7a7084f4c,2025-09-22 11:31:24.959715+00,false
914591d1-12e0-4d36-99f0-fdbd6d655693,d7c685db-920f-41f8-a300-2d270a859518,2025-09-23 06:24:22.284534+00,false
42f0d456-919e-42a4-a2b9-1cab82ea47f7,8db92e65-7e3c-41a9-86b4-0c2f95e17c2c,2025-09-23 10:06:43.271468+00,false
a99ddcd6-bc5d-4bd8-add9-3eb953a186ae,3a05e5b7-e7a1-4a26-9746-99a35ff6f618,2025-11-06 13:19:32.509213+00,false
ca897136-6c03-49d2-9922-ca5cec251de3,cdb85983-6846-43f9-a354-7f0e7c69874b,2025-11-17 13:59:59.441443+00,true
ca897136-6c03-49d2-9922-ca5cec251de3,44577120-05e6-4f8f-b660-5ab670d07187,2025-11-17 14:00:03.15237+00,true
