reason_index,reason_text,reason_length,created_at
1,,0,2025-07-26 12:31:33.350586+00
7,,0,2025-07-27 00:27:16.237313+00
1,,0,2025-07-27 17:35:43.338831+00
4,,0,2025-07-27 22:04:56.789619+00
5,,0,2025-07-28 06:12:28.919511+00
1,,0,2025-07-28 16:49:12.312813+00
4,,0,2025-07-31 00:27:50.4005+00
5,,0,2025-07-31 00:32:17.812398+00
0,,0,2025-07-31 13:14:45.314559+00
5,,0,2025-08-03 20:14:36.838954+00
2,,0,2025-08-05 00:10:35.294704+00
7,,0,2025-08-06 12:01:19.812942+00
0,,0,2025-08-07 16:31:19.066549+00
5,,0,2025-08-07 16:51:20.643799+00
0,,0,2025-08-08 02:13:49.517901+00
1,,0,2025-08-08 20:58:45.257154+00
5,,0,2025-08-11 21:05:47.83676+00
5,,0,2025-08-13 08:45:06.920978+00
2,,0,2025-08-15 23:56:45.011861+00
1,,0,2025-08-26 20:45:39.581909+00
5,,0,2025-08-28 23:09:27.42601+00
7,,0,2025-08-30 00:45:26.448974+00
6,,0,2025-08-30 13:43:52.679328+00
4,,0,2025-08-31 23:32:44.397853+00
0,,0,2025-09-01 01:22:44.590575+00
5,,0,2025-09-01 13:13:40.640992+00
4,,0,2025-09-02 11:44:41.73737+00
1,,0,2025-09-02 13:18:01.837941+00
4,,0,2025-09-03 16:56:31.576213+00
7,,0,2025-09-04 23:40:44.903722+00
4,,0,2025-09-05 10:45:28.663607+00
4,,0,2025-09-06 13:00:58.942777+00
6,,0,2025-09-06 13:18:10.406867+00
4,,0,2025-09-06 15:46:25.545073+00
6,,0,2025-09-06 17:19:28.788784+00
4,,0,2025-09-07 15:10:47.593868+00
5,,0,2025-09-07 17:59:14.971657+00
5,,0,2025-09-07 23:19:49.701729+00
5,,0,2025-09-10 14:40:09.162174+00
4,,0,2025-09-14 16:18:04.982056+00
5,,0,2025-09-15 19:48:15.55138+00
7,.,1,2025-09-15 22:59:54.647983+00
5,,0,2025-09-17 18:01:58.433564+00
5,,0,2025-09-17 18:52:55.984402+00
